program,instruction,signature,err,slot,blocktime,fee,staker,auth2,auth3,stake_account,destination,misc1,misc2,misc3,uiamount
stake,deactivate,5XRW8UbKDFtYhqeWzUfjNkNU3hGNMfzqZsN87b9D8u83cwoqacCXUHdXPmtHSrnj5xA7L2KGdqjdTbGtipM2dWsx,null,159825428,1667841346,0.00001,DYG1ooTxkLS5iHDkte2XK4QBrpHziDR6EEZg5VsqNpVo,,,9bWxjUF5HRQyoDDwq2bTM9aS847YLAGR8eYwzDfMduuD,,,,,
stake,deactivate,596kf6ytqNoAFbKYRYhJxxXJWmMAxosNLh49YCTiDEWcmhac39xazhaJuPGn74qs4YsZqZdusVqnNryub2n1QQDN,null,159825438,1667841351,0.00001,DYG1ooTxkLS5iHDkte2XK4QBrpHziDR6EEZg5VsqNpVo,,,C6oXpjiwJgKgoYsPk265qkpeznLNwd8Ho49HxuVZb9i8,,,,,
stake,deactivate,49tySTnQ4sSs6x4knk7MAe33nEkYM46oW4dkanNDW2bVjVD8gKTjMyg6WXKBoga59eEH2ABgLJ44gfXDa2Up9nuR,null,159825403,1667841335,0.00001,DYG1ooTxkLS5iHDkte2XK4QBrpHziDR6EEZg5VsqNpVo,,,F2nUEyeQ4kSHRHH2EM8Z4jPgDYXhZnsKw1vNZcA9u8xX,,,,,
stake,deactivate,3AQW3gkiMuqMoZfRdFcPtQqq7iwLGunuUBEagTr9fGSbVP2R3XqGV4RkHsqmwkQidCaT2vayeu5w8n7wPAhwwdq4,null,159825476,1667841369,0.00001,DYG1ooTxkLS5iHDkte2XK4QBrpHziDR6EEZg5VsqNpVo,,,68mXXbdyofGLKvXSZStX3JKygJKUm4BTnxy3pyv2zVyA,,,,,
stake,deactivate,4tmLybC1gFmVUBGtbgLDRBSj5kc2jE5qR8uNyiQY16GhtgKwwAHnGZPEyM7hZA97wR4uhH42DKepiam6DVFfNQwe,null,159825464,1667841363,0.00001,DYG1ooTxkLS5iHDkte2XK4QBrpHziDR6EEZg5VsqNpVo,,,4712FcZNfsy3HftXX5MEuLaeRYYWiJw3HmHoJ3mMwWaG,,,,,
stake,deactivate,3248xwLnRrcTdKfKcCe54kgGKeTa4XqaZk2BU7VtDncSoMm3jufah9T6gRH3rJr37FnqF1QTJbFTzcps4iEaHEtp,null,159825452,1667841358,0.00001,DYG1ooTxkLS5iHDkte2XK4QBrpHziDR6EEZg5VsqNpVo,,,5B9xMv1zmMbKABXTtm9yi8wd9An91mXudupx7AA365f2,,,,,
stake,deactivate,2wdpJ29vqDfy3MQdNyLDqwLyiT7QtDbcCx2zzmvExmNfrNaFWUgNJG8YokBCfsQFv8wzPbeWrGG7PKcpjPTZPHxh,null,159825391,1667841331,0.00001,DYG1ooTxkLS5iHDkte2XK4QBrpHziDR6EEZg5VsqNpVo,,,HkrrErEcz148fAUT9Zuj4nAA3vceaWauFpJKjGuNBz19,,,,,
stake,deactivate,n2ka7JaKc47stxycZJzd2gU3Xn6BAG7HDsdAq12WqcewGNPjBZUbDnS6yUTftksXiNoAFYzKvcf6zXsos6qZ6Cy,null,159819644,1667838552,0.00001,8g3YB8KxpWEAAvcjom5vSqxJAZczZBgB4pEgsssts86K,,,Gb5GKNWpmbBDiLp4LAZ5kKCtv5yCQvLMydrihGQWGaH2,,,,,
stake,deactivate,4c3Wd5Waz7XrMKVBpkyHz76xxvsYWvfL8DesEMrTUdXCtWVwrETr8P5gFoXoa6i8FoRBW2M2SoXzWWMr7xyQtuoZ,null,159825416,1667841341,0.00001,DYG1ooTxkLS5iHDkte2XK4QBrpHziDR6EEZg5VsqNpVo,,,5rcDxhjSsdLdM6esmhfki8AaUbQqQSCUAhDSzv3NGmcj,,,,,
stake,deactivate,3FyUMZnz5xW6mEG9Z6wB124LSUSBmbzPq7aCa9fy725CbvFNJJrt39zzYpbJPtDU6nBECBSL77XPdwRdsXLZdFzk,null,159813236,1667835396,0.00001,8g3YB8KxpWEAAvcjom5vSqxJAZczZBgB4pEgsssts86K,,,6TJSJvsH4ncoi5rmo41MBw8xoaw8CRt3fR2twMdoJm8G,,,,,
