dt,program,type,count,volume
2023-04-18,stake,deactivate,3,
2023-04-19,stake,deactivate,203,
2023-04-19,stake,delegate,62,
2023-04-20,stake,deactivate,3,
2023-04-21,stake,deactivate,367,
2023-04-21,stake,delegate,767,
2023-04-23,stake,deactivate,18,
2023-04-24,stake,deactivate,1378,
2023-04-24,stake,delegate,675,
2023-04-25,stake,deactivate,25,
2023-04-26,stake,deactivate,1030,
2023-04-26,stake,delegate,616,
2023-04-28,stake,deactivate,1336,
2023-04-28,stake,delegate,627,
2023-04-30,stake,deactivate,18,
2023-05-01,stake,deactivate,3398,
2023-05-01,stake,delegate,703,
2023-05-02,stake,deactivate,15,
2023-05-03,stake,deactivate,3285,
2023-05-03,stake,delegate,784,
2023-05-05,stake,deactivate,5277,
2023-05-05,stake,delegate,681,
2023-05-07,stake,deactivate,18,
2023-05-08,stake,deactivate,6282,
2023-05-08,stake,delegate,1124,
2023-05-09,stake,deactivate,5250,
2023-05-10,stake,deactivate,8170,
2023-05-10,stake,delegate,1184,
2023-05-12,stake,deactivate,1911,
2023-05-12,stake,delegate,296,
2023-05-13,stake,deactivate,5,
2023-05-13,stake,delegate,565,
2023-05-14,stake,deactivate,11,
2023-05-15,stake,deactivate,24,
2023-05-15,stake,delegate,595,
2023-05-17,stake,deactivate,1319,
2023-05-17,stake,delegate,444,
2023-05-20,stake,deactivate,3562,
2023-05-20,stake,delegate,841,
2023-05-22,stake,deactivate,2657,
2023-05-22,stake,delegate,801,
2023-05-24,stake,deactivate,1058,
2023-05-24,stake,delegate,508,
2023-05-26,stake,deactivate,42,
2023-05-26,stake,delegate,500,
2023-05-28,stake,deactivate,1,
2023-05-28,stake,delegate,32,
2023-05-29,stake,deactivate,4,
2023-05-29,stake,delegate,85,
2023-05-30,stake,deactivate,1403,
2023-05-30,stake,delegate,478,
2023-05-31,stake,deactivate,2819,
2023-05-31,stake,delegate,398,
2023-06-01,stake,deactivate,305,
2023-06-01,stake,delegate,91,
2023-06-02,stake,deactivate,3,
2023-06-03,stake,deactivate,1087,
2023-06-03,stake,delegate,401,
2023-06-04,stake,deactivate,3,
2023-06-05,stake,deactivate,5780,
2023-06-05,stake,delegate,562,
2023-06-06,stake,deactivate,6,
2023-06-08,stake,deactivate,1,
2023-06-14,stake,delegate,200,
2023-06-27,stake,deactivate,9,
2023-06-29,stake,delegate,10,
2023-07-03,stake,deactivate,9,
2023-07-03,stake,delegate,218,
2023-07-04,stake,delegate,15,
2023-07-05,stake,deactivate,3,
2023-07-05,stake,delegate,59,
2023-07-10,stake,delegate,3,
2023-07-13,stake,deactivate,4,
2023-07-13,stake,delegate,188,
2023-07-14,stake,deactivate,6,
2023-07-14,stake,delegate,482,
2023-07-16,stake,delegate,5,
2023-07-24,stake,delegate,2,
2023-07-31,stake,deactivate,1413,
2023-07-31,stake,delegate,269,
2023-08-09,stake,delegate,376,
2023-08-12,stake,deactivate,5,
2023-08-12,stake,delegate,452,
2023-08-13,stake,delegate,3,
2023-08-14,stake,delegate,12,
2023-08-29,stake,deactivate,4,
2023-08-30,stake,deactivate,1,
2023-08-31,stake,withdraw,8,3091000.1100000003
